director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres,comb
Adam Robitel ,Lin Shaye,Angus Sampson,Leigh Whannell,Insidious: The Last Key,Horror Mystery Thriller,Lin Shaye Angus Sampson Leigh Whannell Adam Robitel  Horror Mystery Thriller
Christopher Radcliff (director/screenplay); Lauren Wolkstein ,Lauren Wolkstein (director); Alex Pettyfer,James Freedson-Jackson,Emily Althaus,The Strange Ones,Drama Mystery,Lauren Wolkstein (director); Alex Pettyfer James Freedson-Jackson Emily Althaus Christopher Radcliff (director/screenplay); Lauren Wolkstein  Drama Mystery
Jaume Collet-Serra ,Liam Neeson,Philip de Blasi,Ryan Engle (screenplay); Liam Neeson,The Commuter,Action Thriller Mystery,Liam Neeson Philip de Blasi Ryan Engle (screenplay); Liam Neeson Jaume Collet-Serra  Action Thriller Mystery
Babak Najafi ,Taraji P. Henson,Christian Swegal,Steve Antin (screenplay); Taraji P. Henson,Proud Mary,Thriller Action Crime,Taraji P. Henson Christian Swegal Steve Antin (screenplay); Taraji P. Henson Babak Najafi  Thriller Action Crime
Brett Donowho ,Bruce Willis,Cole Hauser,Shawn Ashmore,Acts of Violence,Action Crime Thriller,Bruce Willis Cole Hauser Shawn Ashmore Brett Donowho  Action Crime Thriller
Trudie Styler ,Alex Lawther,Beth Rigazio (screenplay); Alex Lawther,Abigail Breslin,Freak Show,Comedy Drama,Alex Lawther Beth Rigazio (screenplay); Alex Lawther Abigail Breslin Trudie Styler  Comedy Drama
Sam Hoffman ,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Humor Me,Comedy,Jemaine Clement Elliott Gould Ingrid Michaelson Sam Hoffman  Comedy
Nicolai Fuglsig ,Chris Hemsworth,Peter Craig (screenplay); Chris Hemsworth,Michael Shannon,12 Strong,War Drama Action History,Chris Hemsworth Peter Craig (screenplay); Chris Hemsworth Michael Shannon Nicolai Fuglsig  War Drama Action History
Christian Gudegast ,Gerard Butler,Pablo Schreiber,O'Shea Jackson Jr.,Den of Thieves,Action Crime Thriller,Gerard Butler Pablo Schreiber O'Shea Jackson Jr. Christian Gudegast  Action Crime Thriller
Bethany Ashton Wolf ,Alex Roe,Jessica Rothe,John Benjamin Hickey,Forever My Girl,Romance Drama Music,Alex Roe Jessica Rothe John Benjamin Hickey Bethany Ashton Wolf  Romance Drama Music
Jesse Keller ,Carr Cavender,Molly Beucher,Connor Sullivan,Thane of East County,Drama Thriller,Carr Cavender Molly Beucher Connor Sullivan Jesse Keller  Drama Thriller
Wes Ball ,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Maze Runner: The Death Cure,Science Fiction Action Adventure Thriller,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Wes Ball  Science Fiction Action Adventure Thriller
Ben Lewin ,Dakota Fanning,Toni Collette,Alice Eve,Please Stand By,Comedy Drama,Dakota Fanning Toni Collette Alice Eve Ben Lewin  Comedy Drama
The Spierig Brothers ,Helen Mirren,Jason Clarke,Sarah Snook,Winchester,Horror Thriller,Helen Mirren Jason Clarke Sarah Snook The Spierig Brothers  Horror Thriller
Sebastián Lelio ,Daniela Vega,unknown,unknown,A Fantastic Woman,Drama,Daniela Vega unknown unknown Sebastián Lelio  Drama
Mario Van Peebles ,Mario Van Peebles,Ryan Guzman,Columbus Short,Armed,Action Thriller,Mario Van Peebles Ryan Guzman Columbus Short Mario Van Peebles  Action Thriller
Julius Onah ,Gugu Mbatha-Raw,Elizabeth Debicki,Aksel Hennie,The Cloverfield Paradox,Horror Science Fiction Action,Gugu Mbatha-Raw Elizabeth Debicki Aksel Hennie Julius Onah  Horror Science Fiction Action
Bryan Coyne ,Brea Grant,Graham Skipper,Aly Fitzgerald,Bad Apples,Horror,Brea Grant Graham Skipper Aly Fitzgerald Bryan Coyne  Horror
Will Gluck ,Rose Byrne,Domhnall Gleeson,Sam Neill,Peter Rabbit,Animation Adventure Family,Rose Byrne Domhnall Gleeson Sam Neill Will Gluck  Animation Adventure Family
R. Balki ,Akshay Kumar,unknown,unknown,Pad Man,Comedy Drama,Akshay Kumar unknown unknown R. Balki  Comedy Drama
James Foley ,Dakota Johnson,Jamie Dornan,Eric Johnson,Fifty Shades Freed,Drama Romance,Dakota Johnson Jamie Dornan Eric Johnson James Foley  Drama Romance
Clint Eastwood ,Anthony Sadler,Alek Skarlatos,Spencer Stone,The 15:17 to Paris,Drama Thriller,Anthony Sadler Alek Skarlatos Spencer Stone Clint Eastwood  Drama Thriller
Brian Crano ,Rebecca Hall,Dan Stevens,Gina Gershon,Permission,Comedy Romance Drama,Rebecca Hall Dan Stevens Gina Gershon Brian Crano  Comedy Romance Drama
Alex Ross Perry ,Emily Browning,Adam Horowitz,Mary-Louise Parker,Golden Exits,Drama,Emily Browning Adam Horowitz Mary-Louise Parker Alex Ross Perry  Drama
"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis",Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Black Panther,Action Adventure Science Fiction,"Chadwick Boseman Michael B. Jordan Lupita Nyong'o Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis Action Adventure Science Fiction"
Mark Pellington ,Jon Hamm,Catherine Keener,John Ortiz,Nostalgia,Drama,Jon Hamm Catherine Keener John Ortiz Mark Pellington  Drama
Bruce Macdonald ,Taylor James,Zach Smith,Timothy Ratajczak,Samson,Action Drama Adventure,Taylor James Zach Smith Timothy Ratajczak Bruce Macdonald  Action Drama Adventure
